Gender,Age,Marital Status,Job Level,Years of Experience,Department,Employee Type,Work-Life Balance,Work Environment,Physical Activity Hours,Workload,Stress Level,Sleep Hours,Commute Mode,Commute Distance (km),Number of Companies Worked,Team Size,Direct Reports,Education Level,Overtime Status,Training Hours Per Year,Job Satisfaction,Low Sleep Flag,Long Commute Flag,Burnout Flag,Sleep Category,Burnout Score
Female,35,Married,Senior,12,Finance,Full-Time,5,3,2.0,1,1,6.8,Public Transport,11,4,21,2,Bachelor,No,46.0,5,0,0,0,Moderate,-0.08999999999999997
Female,29,Single,Mid,7,Finance,Part-Time,4,5,2.7,2,2,8.1,Public Transport,25,2,14,0,Bachelor,No,33.5,5,0,1,0,Healthy,0.10999999999999999
Male,28,Married,Senior,6,Sales,Full-Time,4,5,1.8,1,3,8.3,Bike,3,2,16,7,Bachelor,No,43.0,5,0,0,0,Healthy,-0.9300000000000003
Female,26,Single,Mid,4,Sales,Part-Time,5,5,2.3,2,3,7.8,Walk,2,1,15,0,Bachelor,No,32.0,5,0,0,0,Healthy,-0.4599999999999999
Male,30,Married,Mid,8,Finance,Part-Time,5,4,2.2,1,1,5.9,Walk,2,2,12,0,Bachelor,No,34.0,5,0,0,0,Moderate,-1.6653345369377348e-16
Female,45,Single,Mid,9,Operations,Full-Time,5,5,2.1,2,1,6.8,Car,8,7,12,0,Bachelor,No,34.5,5,0,0,0,Moderate,0.12
Male,28,Single,Junior,6,Operations,Full-Time,5,5,2.2,1,1,8.0,Bike,4,2,7,0,Bachelor,No,23.0,5,0,0,0,Healthy,-0.7800000000000001
Male,27,Single,Junior,2,Operations,Full-Time,4,4,2.3,1,1,7.8,Public Transport,20,1,7,0,Bachelor,No,21.0,5,0,1,0,Healthy,-0.21999999999999986
Male,49,Married,Mid,3,Finance,Full-Time,4,4,2.6,2,1,10.0,Bike,2,9,12,0,Bachelor,No,31.5,5,0,0,0,Healthy,-1.3399999999999999
Male,30,Married,Mid,8,Operations,Full-Time,4,5,0.2,1,1,6.3,Car,11,2,12,0,Bachelor,No,34.0,5,0,0,0,Moderate,0.1100000000000001
Female,24,Single,Junior,1,Finance,Full-Time,5,5,0.0,4,1,8.9,Walk,2,0,9,0,Bachelor,No,20.5,5,0,0,0,Healthy,-0.3000000000000003
Male,31,Married,Mid,9,It,Full-Time,5,4,2.5,1,1,6.2,Public Transport,16,3,13,0,Bachelor,No,34.5,5,0,0,0,Moderate,0.2999999999999999
Female,45,Married,Mid,23,Legal,Full-Time,5,5,1.2,4,1,7.2,Car,29,7,13,0,Bachelor,No,41.5,5,0,1,0,Healthy,1.19
Female,49,Divorced,Mid,18,Finance,Full-Time,5,5,2.3,2,2,6.5,Bike,7,9,13,0,Bachelor,No,39.0,5,0,0,0,Moderate,0.20999999999999988
Female,31,Single,Senior,9,Marketing,Part-Time,5,3,0.4,1,1,6.8,Public Transport,17,3,24,6,Bachelor,No,44.5,5,0,0,0,Moderate,0.09000000000000002
Female,27,Married,Junior,5,Legal,Part-Time,5,4,2.0,4,1,8.7,Walk,2,1,10,0,Bachelor,No,22.5,5,0,0,0,Healthy,-0.2199999999999998
Female,24,Married,Junior,2,Finance,Full-Time,5,2,3.2,2,1,9.0,Car,24,0,8,0,Bachelor,No,21.0,5,0,1,0,Healthy,-0.28
Male,56,Married,Senior,14,Finance,Full-Time,5,4,2.1,1,1,5.4,Car,10,11,18,1,Bachelor,No,47.0,5,0,0,0,Moderate,0.43999999999999984
Female,48,Divorced,Senior,26,Marketing,Part-Time,4,5,2.1,2,2,7.2,Car,27,8,24,7,Bachelor,No,53.0,5,0,1,0,Healthy,0.5299999999999999
Male,22,Single,Intern/Fresher,0,Operations,Full-Time,5,3,1.5,2,1,7.8,Walk,1,0,26,0,Bachelor,No,10.0,5,0,0,0,Healthy,-0.4899999999999999
Male,35,Married,Senior,4,It,Full-Time,5,4,2.7,1,1,7.9,Car,21,4,24,1,Bachelor,Yes,42.0,5,0,1,0,Healthy,-0.2300000000000001
Male,22,Single,Intern/Fresher,0,Legal,Part-Time,5,4,2.1,2,2,9.5,Bike,7,0,23,0,Bachelor,No,10.0,5,0,0,0,Healthy,-0.9900000000000002
Male,25,Single,Junior,3,Finance,Full-Time,5,5,0.9,3,1,7.4,Walk,1,1,8,0,Bachelor,No,21.5,5,0,0,0,Healthy,-0.030000000000000276
Male,24,Single,Junior,2,Finance,Part-Time,5,5,4.6,1,3,8.0,Public Transport,6,0,5,0,Bachelor,No,21.0,5,0,0,0,Healthy,-0.7200000000000002
Male,26,Single,Junior,4,It,Part-Time,5,5,1.6,2,1,7.3,Bike,1,1,9,0,Bachelor,Yes,22.0,5,0,0,0,Healthy,-0.2899999999999999
Female,31,Single,Senior,2,Marketing,Part-Time,5,4,2.6,3,1,7.1,Public Transport,18,3,19,7,Bachelor,No,41.0,5,0,0,0,Healthy,0.6000000000000001
Female,30,Single,Senior,5,Finance,Full-Time,4,4,2.5,1,1,7.3,Car,23,2,23,4,Bachelor,No,42.5,5,0,1,0,Healthy,0.07000000000000006
Male,29,Single,Mid,3,It,Part-Time,5,5,2.4,1,1,7.1,Car,10,2,12,0,Bachelor,No,31.5,5,0,0,0,Healthy,-0.23999999999999982
Female,23,Single,Junior,1,Operations,Full-Time,4,5,2.6,2,1,7.8,Motorbike,23,0,9,0,Bachelor,No,20.5,5,0,1,0,Healthy,0.17000000000000004
Male,37,Married,Senior,11,Hr,Full-Time,4,5,4.1,1,1,6.9,Public Transport,5,5,23,4,Bachelor,No,45.5,5,0,0,0,Moderate,-0.3100000000000003
Male,30,Married,Mid,8,Operations,Full-Time,5,1,2.0,1,2,9.7,Car,10,2,10,0,Bachelor,No,34.0,5,0,0,0,Healthy,-1.2799999999999998
Male,34,Married,Mid,2,Finance,Part-Time,4,4,3.2,2,1,7.6,Motorbike,24,4,15,0,Bachelor,No,31.0,5,0,1,0,Healthy,0.28000000000000014
Female,32,Married,Senior,8,Sales,Contract,4,5,3.5,2,1,6.5,Public Transport,9,3,17,2,Bachelor,No,44.0,5,0,0,0,Moderate,0.2699999999999999
Male,27,Single,Junior,5,It,Full-Time,5,5,2.3,1,1,9.4,Public Transport,26,1,7,0,Bachelor,No,22.5,5,0,1,0,Healthy,-0.6800000000000002
Male,29,Single,Junior,7,Legal,Contract,5,4,1.7,3,1,7.4,Public Transport,13,2,6,0,Bachelor,No,23.5,5,0,0,0,Healthy,0.32999999999999974
Female,38,Married,Senior,8,Operations,Full-Time,5,5,2.6,1,1,8.5,Bike,7,5,19,4,Bachelor,No,44.0,5,0,0,0,Healthy,-0.8900000000000001
Female,23,Single,Intern/Fresher,1,Finance,Full-Time,3,3,2.7,1,1,8.8,Public Transport,12,0,25,0,Bachelor,No,10.5,5,0,0,0,Healthy,-0.8600000000000004
Female,43,Married,Mid,6,Hr,Full-Time,5,4,2.5,2,2,7.3,Walk,1,7,11,0,Bachelor,No,33.0,5,0,0,0,Healthy,-0.2899999999999999
Female,27,Single,Mid,5,Marketing,Part-Time,5,4,2.2,2,1,6.3,Walk,2,1,15,0,Bachelor,No,32.5,5,0,0,0,Moderate,0.14000000000000007
Female,43,Married,Mid,4,Finance,Full-Time,5,5,0.6,3,2,7.6,Motorbike,21,7,14,0,Bachelor,No,32.0,5,0,1,0,Healthy,0.4900000000000001
Male,25,Single,Junior,3,Marketing,Full-Time,4,5,0.9,2,1,7.5,Car,15,1,10,0,Bachelor,No,21.5,5,0,0,0,Healthy,0.04999999999999993
Female,22,Single,Intern/Fresher,0,Operations,Full-Time,4,5,1.6,1,1,7.9,Car,21,0,30,0,Bachelor,No,10.0,5,0,1,0,Healthy,-0.2300000000000001
Male,28,Married,Mid,5,Finance,Part-Time,5,5,1.7,1,3,8.0,Walk,2,2,10,0,Bachelor,No,32.5,5,0,0,0,Healthy,-0.8400000000000001
Male,28,Married,Junior,6,It,Full-Time,4,5,2.8,2,1,6.4,Motorbike,18,2,9,0,Bachelor,No,23.0,5,0,0,0,Moderate,0.5799999999999998
Male,29,Single,Junior,7,Marketing,Full-Time,2,5,1.7,3,1,9.4,Public Transport,8,2,5,0,Bachelor,No,23.5,5,0,0,0,Healthy,-0.6200000000000003
Male,36,Married,Mid,14,Operations,Part-Time,4,4,3.0,2,3,9.3,Car,21,4,10,0,Bachelor,No,37.0,5,0,1,0,Healthy,-0.49000000000000055
Male,26,Single,Junior,3,Finance,Full-Time,5,2,0.9,1,1,7.1,Public Transport,19,1,8,0,Bachelor,No,21.5,5,0,0,0,Healthy,0.030000000000000138
Female,26,Single,Mid,3,It,Contract,4,4,2.3,2,1,7.7,Car,15,1,14,0,Bachelor,No,31.5,5,0,0,0,Healthy,-0.030000000000000138
Female,28,Single,Junior,6,It,Part-Time,4,4,1.5,3,1,9.7,Car,25,2,9,0,Bachelor,No,23.0,5,0,1,0,Healthy,-0.22999999999999998
Male,47,Married,Mid,25,Sales,Full-Time,4,3,1.7,1,1,7.4,Motorbike,12,8,14,0,Bachelor,No,42.5,5,0,0,0,Healthy,-0.30000000000000016
Male,33,Single,Mid,3,Finance,Part-Time,5,5,0.5,3,1,7.5,Car,22,3,13,0,Bachelor,No,31.5,5,0,1,0,Healthy,0.5599999999999999
Female,28,Single,Junior,6,Finance,Contract,5,5,1.5,1,3,6.7,Bike,10,2,7,0,Bachelor,No,23.0,5,0,0,0,Moderate,-0.08000000000000018
Female,29,Single,Junior,7,Finance,Full-Time,4,4,3.9,1,1,7.6,Car,18,2,10,0,Bachelor,No,23.5,5,0,0,0,Healthy,-0.19999999999999973
Female,26,Married,Junior,2,Finance,Full-Time,4,4,2.2,1,1,6.6,Public Transport,29,1,5,0,Bachelor,No,21.0,5,0,1,0,Moderate,0.53
Female,35,Married,Senior,13,Operations,Full-Time,5,3,1.0,1,1,7.1,Public Transport,27,4,17,8,Bachelor,No,46.5,5,0,1,0,Healthy,0.27000000000000024
Male,25,Single,Mid,3,Finance,Contract,4,3,0.3,2,1,8.8,Public Transport,15,1,10,0,Bachelor,No,31.5,5,0,0,0,Healthy,-0.47000000000000053
Male,33,Married,Senior,11,Finance,Part-Time,4,5,2.1,4,1,8.1,Public Transport,6,3,17,6,Bachelor,No,45.5,5,0,0,0,Healthy,0.13999999999999996
Male,27,Single,Junior,5,Hr,Full-Time,3,5,1.9,2,1,8.2,Public Transport,21,1,6,0,Bachelor,No,22.5,5,0,1,0,Healthy,-0.04999999999999982
Other,29,Single,Junior,7,Finance,Full-Time,4,4,3.5,2,1,9.5,Bike,2,2,6,0,Bachelor,No,23.5,5,0,0,0,Healthy,-1.1400000000000001
Female,26,Single,Junior,4,Finance,Full-Time,4,3,3.3,1,1,8.0,Bike,9,1,7,0,Bachelor,No,22.0,5,0,0,0,Healthy,-0.6300000000000001
Female,27,Single,Junior,5,Operations,Full-Time,2,5,2.8,1,1,8.6,Car,7,1,7,0,Bachelor,No,22.5,5,0,0,0,Healthy,-0.9299999999999999
Female,27,Single,Mid,2,Finance,Full-Time,5,3,2.5,4,1,9.5,Car,20,1,15,0,Bachelor,No,31.0,5,0,1,0,Healthy,-1.1102230246251565e-16
Female,28,Single,Junior,6,It,Part-Time,2,1,0.7,1,1,7.2,Public Transport,8,2,8,0,Bachelor,No,23.0,5,0,0,0,Healthy,-0.3400000000000001
Female,38,Married,Mid,12,Marketing,Full-Time,2,1,1.4,1,1,8.4,Public Transport,16,5,11,0,Bachelor,No,36.0,5,0,0,0,Healthy,-0.5800000000000003
Female,28,Single,Junior,6,Sales,Part-Time,4,4,2.7,4,1,6.2,Car,21,2,9,0,Bachelor,No,23.0,5,0,1,0,Moderate,1.3499999999999999
Female,31,Married,Mid,9,Finance,Full-Time,2,1,4.2,1,1,8.5,Public Transport,25,3,13,0,Bachelor,No,34.5,5,0,1,0,Healthy,-0.3500000000000001
Other,31,Single,Senior,9,Sales,Part-Time,4,4,1.7,3,1,6.9,Public Transport,23,3,18,4,Bachelor,No,44.5,5,0,1,0,Moderate,0.8299999999999996
Male,47,Single,Mid,4,Finance,Full-Time,1,2,2.0,1,2,6.1,Car,19,8,11,0,Bachelor,No,32.0,5,0,0,0,Moderate,0.43000000000000005
Male,48,Married,Mid,17,It,Full-Time,5,3,2.5,1,1,7.3,Motorbike,22,8,14,0,Bachelor,Yes,38.5,5,0,1,0,Healthy,0.04000000000000015
Female,39,Single,Senior,5,Marketing,Full-Time,3,2,3.0,3,2,8.2,Bike,6,5,22,8,Bachelor,No,42.5,5,0,0,0,Healthy,-0.1999999999999999
Female,23,Single,Intern/Fresher,1,Sales,Full-Time,2,5,3.3,1,1,6.5,Public Transport,7,0,28,0,Bachelor,No,10.5,5,0,0,0,Moderate,-0.09000000000000011
Female,22,Single,Intern/Fresher,0,Finance,Contract,3,3,1.5,2,1,6.0,Public Transport,5,0,30,0,Bachelor,No,10.0,5,0,0,0,Moderate,0.35
Male,26,Married,Junior,4,It,Full-Time,2,1,2.4,1,2,6.9,Walk,2,1,10,0,Bachelor,No,22.0,5,0,0,0,Moderate,-0.40000000000000024
Male,35,Married,Mid,13,Marketing,Full-Time,4,3,0.6,5,1,5.4,Motorbike,8,4,10,0,Bachelor,No,36.5,5,0,0,0,Moderate,1.5799999999999998
Female,25,Single,Junior,3,Operations,Full-Time,4,1,1.3,1,1,6.8,Car,16,1,9,0,Bachelor,No,21.5,5,0,0,0,Moderate,0.06
Female,32,Single,Mid,10,It,Full-Time,5,1,1.5,3,1,7.6,Car,11,3,10,0,Bachelor,Yes,35.0,5,0,0,0,Healthy,0.1900000000000001
Female,24,Single,Junior,2,Operations,Part-Time,3,3,2.5,2,1,5.9,Bike,5,0,10,0,Bachelor,No,21.0,5,0,0,0,Moderate,0.3899999999999998
Male,31,Married,Mid,9,Operations,Part-Time,5,1,2.5,1,3,8.0,Public Transport,21,3,10,0,Bachelor,No,34.5,5,0,1,0,Healthy,-0.27000000000000013
Female,34,Married,Senior,12,It,Full-Time,4,4,0.0,4,1,6.8,Car,20,4,18,1,Bachelor,Yes,46.0,5,0,1,0,Moderate,1.08
Female,39,Married,Senior,7,Marketing,Part-Time,3,2,1.5,2,1,4.9,Public Transport,27,5,17,1,Bachelor,No,43.5,5,1,1,0,Low,1.4499999999999997
Female,37,Married,Mid,15,Sales,Full-Time,2,5,3.4,5,1,7.5,Walk,2,5,10,0,Bachelor,Yes,37.5,5,0,0,0,Healthy,0.56
Male,31,Single,Mid,9,Operations,Full-Time,3,3,3.2,2,1,7.2,Car,26,3,11,0,Bachelor,No,34.5,5,0,1,0,Healthy,0.4999999999999999
Male,39,Married,Senior,2,Customer Service,Contract,1,2,0.8,2,1,6.3,Car,10,5,18,3,Bachelor,No,41.0,5,0,0,0,Moderate,0.38000000000000006
Male,24,Single,Mid,2,It,Part-Time,5,2,2.6,5,1,6.8,Car,29,0,15,0,Bachelor,No,31.0,5,0,1,0,Moderate,1.65
Male,27,Single,Junior,5,Sales,Full-Time,5,5,2.2,5,2,7.5,Walk,1,1,7,0,Bachelor,No,22.5,5,0,0,0,Healthy,0.53
Male,24,Single,Junior,2,It,Contract,1,2,1.0,2,1,8.5,Bike,10,0,7,0,Bachelor,Yes,21.0,5,0,0,0,Healthy,-0.5000000000000002
Male,42,Single,Senior,11,Legal,Full-Time,2,2,2.0,3,1,6.8,Bike,9,6,17,6,Bachelor,No,45.5,5,0,0,0,Moderate,0.44999999999999996
Female,24,Single,Junior,2,Marketing,Full-Time,4,4,2.1,3,3,7.1,Walk,2,0,10,0,Bachelor,No,21.0,5,0,0,0,Healthy,0.12000000000000005
Female,23,Single,Junior,1,Sales,Part-Time,4,1,1.3,2,1,7.0,Public Transport,21,0,10,0,Bachelor,No,20.5,5,0,1,0,Moderate,0.42999999999999994
Male,23,Single,Intern/Fresher,1,Sales,Full-Time,5,2,0.0,4,2,6.9,Car,26,0,23,0,Bachelor,No,10.5,5,0,1,0,Moderate,1.2199999999999998
Female,35,Married,Mid,13,Hr,Full-Time,4,2,3.6,4,2,6.5,Bike,5,4,10,0,Bachelor,No,36.5,5,0,0,0,Moderate,0.7499999999999999
Other,28,Single,Mid,6,Legal,Part-Time,2,4,1.9,2,2,5.6,Car,9,2,12,0,Bachelor,No,33.0,5,0,0,0,Moderate,0.6300000000000001
Male,26,Married,Mid,4,Finance,Full-Time,3,5,3.2,4,2,8.6,Public Transport,23,1,10,0,Bachelor,No,32.0,5,0,1,0,Healthy,0.44999999999999996
Male,26,Single,Mid,4,It,Full-Time,4,5,2.9,4,1,8.6,Car,11,1,15,0,Bachelor,Yes,32.0,5,0,0,0,Healthy,0.09000000000000002
Female,24,Single,Junior,2,Legal,Full-Time,4,5,2.7,4,1,7.8,Car,5,0,5,0,Bachelor,No,21.0,5,0,0,0,Healthy,0.23000000000000007
Female,33,Married,Mid,5,Operations,Full-Time,3,4,1.4,4,1,7.3,Car,20,3,13,0,Bachelor,No,32.5,5,0,1,0,Healthy,0.88
Female,25,Single,Mid,3,Finance,Part-Time,5,1,3.1,4,1,8.4,Public Transport,29,1,10,0,Bachelor,No,31.5,5,0,1,0,Healthy,0.7099999999999996
Male,36,Married,Senior,9,Operations,Full-Time,4,4,0.6,4,1,8.9,Public Transport,9,4,25,3,Bachelor,No,44.5,5,0,0,0,Healthy,-0.0900000000000003
Male,29,Single,Junior,7,Sales,Full-Time,2,5,2.3,4,1,6.3,Bike,10,2,8,0,Bachelor,No,23.5,5,0,0,0,Moderate,0.98
Male,36,Divorced,Senior,14,Operations,Full-Time,5,3,2.3,3,5,7.1,Motorbike,7,4,18,3,Bachelor,No,47.0,5,0,0,0,Healthy,0.27
Male,58,Married,Senior,6,Operations,Full-Time,1,2,3.2,1,1,5.5,Public Transport,6,12,25,5,Bachelor,No,43.0,5,0,0,0,Moderate,0.27999999999999997
Male,36,Single,Mid,3,It,Full-Time,3,3,0.1,3,2,9.0,Car,18,4,11,0,Bachelor,Yes,31.5,5,0,0,0,Healthy,-0.16000000000000014
Male,46,Divorced,Mid,8,It,Part-Time,1,5,3.6,3,1,7.5,Car,13,8,14,0,Bachelor,Yes,34.0,5,0,0,0,Healthy,0.2899999999999999
Female,22,Single,Junior,0,Marketing,Full-Time,1,4,2.1,2,1,6.4,Bike,10,0,8,0,Bachelor,No,20.0,5,0,0,0,Moderate,0.3399999999999998
Male,31,Married,Senior,9,Legal,Part-Time,4,5,1.7,1,1,6.0,Bike,9,3,24,8,Bachelor,Yes,44.5,5,0,0,0,Moderate,0.16999999999999998
Male,29,Single,Junior,3,Legal,Full-Time,2,5,2.5,3,1,8.5,Public Transport,23,2,10,0,Bachelor,No,21.5,5,0,1,0,Healthy,0.18999999999999972
Male,24,Single,Mid,2,It,Contract,3,5,2.7,3,1,6.5,Public Transport,25,0,11,0,Bachelor,Yes,31.0,5,0,1,0,Moderate,1.0499999999999998
Female,33,Single,Mid,11,Marketing,Contract,5,3,0.3,5,3,8.4,Bike,10,3,12,0,Bachelor,No,35.5,5,0,0,0,Healthy,0.43999999999999967
Female,49,Married,Senior,15,Sales,Full-Time,3,1,2.5,2,2,7.7,Public Transport,9,9,16,4,Bachelor,No,47.5,5,0,0,0,Healthy,-0.21000000000000008
Male,25,Single,Junior,3,It,Full-Time,5,5,2.9,3,1,7.7,Public Transport,11,1,7,0,Bachelor,Yes,21.5,5,0,0,0,Healthy,0.14999999999999986
Male,24,Single,Junior,2,Customer Service,Full-Time,4,3,1.9,2,2,6.1,Bike,9,0,9,0,Bachelor,No,21.0,5,0,0,0,Moderate,0.4300000000000001
Male,22,Single,Intern/Fresher,0,It,Full-Time,3,4,1.5,3,4,9.0,Public Transport,11,0,26,0,Bachelor,Yes,10.0,5,0,0,0,Healthy,-0.37000000000000016
Female,38,Married,Mid,16,It,Full-Time,3,2,1.0,3,3,7.4,Car,15,5,13,0,Bachelor,No,38.0,5,0,0,0,Healthy,0.3899999999999997
Female,33,Single,Mid,10,Finance,Full-Time,2,4,0.2,1,1,6.0,Bike,5,3,12,0,Bachelor,No,35.0,5,0,0,0,Moderate,0.04999999999999996
Male,29,Single,Mid,7,Finance,Full-Time,1,4,0.4,4,1,7.2,Car,10,2,11,0,Bachelor,No,33.5,5,0,0,0,Healthy,0.6199999999999999
Female,44,Married,Mid,11,Operations,Full-Time,4,5,0.0,2,3,5.7,Car,13,7,10,0,Bachelor,Yes,35.5,5,0,0,0,Moderate,0.71
Male,34,Single,Mid,7,It,Full-Time,5,1,1.8,4,1,8.0,Car,8,4,14,0,Bachelor,Yes,33.5,5,0,0,0,Healthy,0.23999999999999977
Other,29,Single,Junior,6,Marketing,Full-Time,4,2,1.5,2,1,5.8,Bike,9,2,8,0,Bachelor,No,23.0,5,0,0,0,Moderate,0.55
Other,44,Single,Senior,13,Finance,Full-Time,5,3,1.1,4,1,8.0,Bike,2,7,15,3,Bachelor,No,46.5,5,0,0,0,Healthy,0.059999999999999776
Female,56,Married,Senior,2,Operations,Full-Time,4,1,2.6,2,1,6.8,Car,21,11,21,3,Bachelor,Yes,41.0,5,0,1,0,Moderate,0.51
Male,23,Single,Junior,1,Sales,Part-Time,2,3,2.4,1,2,5.5,Public Transport,23,0,8,0,Bachelor,No,20.5,5,0,1,0,Moderate,0.7899999999999999
Female,48,Married,Mid,25,Sales,Full-Time,3,2,1.6,1,1,5.5,Car,6,8,15,0,Bachelor,No,42.5,5,0,0,0,Moderate,0.27999999999999997
Male,29,Single,Junior,6,It,Full-Time,3,3,1.5,3,1,5.2,Public Transport,17,2,5,0,Bachelor,No,23.0,5,0,0,0,Moderate,1.3299999999999998
Male,32,Married,Senior,2,Finance,Full-Time,5,2,3.5,4,1,8.6,Car,11,3,19,4,Bachelor,No,41.0,5,0,0,0,Healthy,0.09000000000000002
Male,54,Married,Senior,23,Finance,Full-Time,5,4,2.4,2,2,6.5,Car,7,10,20,7,Bachelor,No,51.5,5,0,0,0,Moderate,0.20999999999999988
Female,29,Single,Mid,7,Finance,Contract,1,3,3.2,3,1,6.5,Walk,2,2,10,0,Bachelor,No,33.5,5,0,0,0,Moderate,0.3599999999999998
Male,28,Single,Junior,6,It,Contract,3,4,2.1,3,1,7.8,Public Transport,25,2,6,0,Bachelor,Yes,23.0,5,0,1,0,Healthy,0.53
Male,25,Single,Junior,3,Sales,Contract,3,5,1.7,4,1,5.5,Car,10,1,8,0,Bachelor,No,21.5,5,0,0,0,Moderate,1.3
Male,24,Single,Senior,2,It,Part-Time,2,2,4.4,1,1,6.2,Public Transport,26,0,20,1,Bachelor,Yes,41.0,5,0,1,0,Moderate,0.5999999999999999
Female,49,Married,Mid,21,Legal,Full-Time,2,4,1.9,1,1,5.8,Public Transport,22,9,15,0,Bachelor,No,40.5,5,0,1,0,Moderate,0.6400000000000001
Female,28,Single,Mid,4,Sales,Full-Time,5,3,2.2,5,2,6.9,Public Transport,15,2,15,0,Bachelor,No,32.0,5,0,0,0,Moderate,1.1899999999999997
Male,46,Single,Senior,5,Sales,Contract,2,5,3.1,4,1,7.5,Car,7,8,17,5,Bachelor,Yes,42.5,5,0,0,0,Healthy,0.4099999999999999
Female,23,Single,Intern/Fresher,1,Legal,Full-Time,5,3,2.7,4,1,6.8,Bike,5,0,24,0,Bachelor,No,10.5,5,0,0,0,Moderate,0.63
Other,28,Single,Junior,6,Marketing,Full-Time,1,5,0.0,4,1,6.3,Car,8,2,9,0,Bachelor,No,23.0,5,0,0,0,Moderate,0.92
Female,31,Single,Senior,9,Legal,Full-Time,5,3,3.7,2,3,6.3,Car,18,3,19,3,Bachelor,No,44.5,5,0,0,0,Moderate,0.6200000000000001
Female,24,Single,Mid,2,Marketing,Full-Time,4,3,1.4,4,1,6.8,Walk,2,0,11,0,Bachelor,No,31.0,5,0,0,0,Moderate,0.54
Male,27,Single,Junior,5,It,Full-Time,4,3,2.5,3,1,7.6,Public Transport,28,1,5,0,Bachelor,Yes,22.5,5,0,1,0,Healthy,0.7000000000000001
Male,46,Married,Senior,21,Legal,Part-Time,3,4,0.1,5,1,6.6,Motorbike,5,8,20,6,Bachelor,No,50.5,5,0,0,0,Moderate,1.01
Female,31,Married,Mid,9,Finance,Full-Time,4,3,2.3,1,2,5.2,Car,5,3,11,0,Bachelor,Yes,34.5,5,0,0,0,Moderate,0.3699999999999999
Female,26,Single,Mid,4,Operations,Contract,5,2,2.4,2,3,6.5,Car,16,1,13,0,Bachelor,No,32.0,5,0,0,0,Moderate,0.47999999999999987
Female,29,Single,Junior,7,Hr,Part-Time,1,5,1.0,1,1,5.3,Car,17,2,8,0,Bachelor,No,23.5,5,0,0,0,Moderate,0.6900000000000001
Male,28,Single,Junior,6,Customer Service,Part-Time,3,4,1.5,4,1,8.6,Motorbike,22,2,7,0,Bachelor,Yes,23.0,5,0,1,0,Healthy,0.42000000000000004
Female,23,Single,Intern/Fresher,1,Legal,Full-Time,2,4,1.0,2,2,6.3,Motorbike,12,0,24,0,Bachelor,No,10.5,5,0,0,0,Moderate,0.44000000000000006
Male,26,Single,Mid,4,Sales,Full-Time,3,2,2.7,3,2,7.9,Public Transport,16,1,14,0,Bachelor,No,32.0,5,0,0,0,Healthy,0.21999999999999975
